Year,Population
1901,1978091
1911,2313035
1921,2771900
1922,2831500
1923,2898800
1924,2961500
1925,3031100
1926,3091500
1927,3158800
1928,3221400
1929,3265300
1930,3295300
1931,3321200
1932,3343100
1933,3367100
1934,3388400
1935,3410300
1936,3433800
1937,3459900
1938,3490200
1939,3522200
1940,3554600
1941,3584500
1942,3613700
1943,3634400
1944,3666300
1945,3703200
1946,3739500
1947,3797400
1948,3865200
1949,3972600
1950,4122900
1951,4253700
1952,4372600
1953,4462600
1954,4546100
1955,4656300
1956,4776000
1957,4882300
1958,4976600
1959,5080200
1960,5192300
1961,5312300
1962,5399200
1963,5499900
1964,5605200
1965,5714500
1966,5841588
1967,5939321
1968,6043235
1969,6170191
1970,6291977
1971,6567936
1972,6685153
1973,6782848
1974,6889668
1975,6969181
1976,7032034
1977,7104702
1978,7181293
1979,7253762
1980,7338060
1981,7448267
1982,7580914
1983,7686346
1984,7778212
1985,7882728
1986,8000187
1987,8118255
1988,8248945
1989,8387589
1990,8511269
1991,8615409
1992,8708256
1993,8781980
1994,8863677
1995,8960430
1996,9065324
1997,9156177
1998,9243143
1999,9340109
2000,9443465
2001,9561826
2002,9675483
2003,9787597
2004,9895951
2005,10019633
2006,10159424
2007,10353636
2008,10572045
2009,10800797
2010,10967831
2011,11118234
2012,11312979
2013,11506165
2014,11667886
2015,11827652
2016,12003039
